"from" "to"
"1" 10 12
"2" 4 19
"3" 16 19
"4" 17 23
"5" 26 27
"6" 22 28
"7" 3 30
"8" 3 35
"9" 36 38
"10" 32 39
"11" 20 40
"12" 33 43
"13" 42 43
"14" 18 45
"15" 27 45
"16" 28 45
"17" 3 46
"18" 11 46
"19" 28 46
"20" 13 47
"21" 32 48
"22" 39 48
"23" 32 49
"24" 13 50
"25" 14 50
"26" 50 54
"27" 17 55
"28" 5 57
"29" 3 58
"30" 8 58
"31" 7 59
"32" 55 59
"33" 39 61
"34" 7 62
"35" 23 62
"36" 27 63
"37" 61 63
"38" 10 64
"39" 42 64
"40" 58 65
"41" 49 67
"42" 60 68
"43" 64 71
"44" 67 71
"45" 13 72
"46" 38 73
"47" 57 73
"48" 39 74
"49" 20 75
"50" 24 76
"51" 31 77
"52" 50 77
"53" 18 78
"54" 63 78
"55" 50 82
"56" 4 84
"57" 30 84
"58" 44 85
"59" 39 86
"60" 20 87
"61" 62 87
"62" 46 88
"63" 53 90
"64" 5 91
"65" 8 91
"66" 12 92
"67" 23 92
"68" 78 92
"69" 83 92
"70" 9 93
"71" 12 93
"72" 47 93
"73" 23 94
"74" 40 94
"75" 35 95
"76" 42 95
"77" 77 95
"78" 79 95
"79" 91 95
"80" 38 96
"81" 53 97
"82" 74 98
"83" 98 99
"84" 21 102
"85" 11 103
"86" 20 103
"87" 44 104
"88" 46 104
"89" 75 105
"90" 96 105
"91" 14 106
"92" 82 106
"93" 4 107
"94" 16 107
"95" 50 107
"96" 101 107
"97" 106 107
"98" 21 108
"99" 42 108
"100" 96 108
"101" 29 110
"102" 96 110
"103" 8 111
"104" 26 112
"105" 43 112
"106" 66 113
"107" 5 114
"108" 46 114
"109" 88 114
"110" 21 116
"111" 96 116
"112" 6 117
"113" 17 117
"114" 41 117
"115" 112 117
"116" 38 118
"117" 80 118
"118" 47 119
"119" 81 119
"120" 23 120
"121" 32 120
"122" 98 121
"123" 43 122
"124" 59 123
"125" 120 123
"126" 16 124
"127" 20 124
"128" 118 124
"129" 10 126
"130" 44 126
"131" 64 126
"132" 111 126
"133" 13 127
"134" 45 127
"135" 83 127
"136" 92 127
"137" 108 127
