"from" "to"
"1" 6 11
"2" 8 11
"3" 10 14
"4" 14 17
"5" 9 19
"6" 17 24
"7" 12 26
"8" 5 28
"9" 10 32
"10" 8 36
"11" 36 38
"12" 9 41
"13" 6 43
"14" 19 46
"15" 18 50
"16" 30 54
"17" 31 54
"18" 1 55
"19" 1 56
"20" 19 57
"21" 20 58
"22" 30 58
"23" 50 59
"24" 16 60
"25" 48 60
"26" 37 62
"27" 62 63
"28" 19 65
"29" 35 66
"30" 29 67
"31" 35 68
"32" 41 71
"33" 50 71
"34" 22 73
"35" 2 77
"36" 2 78
"37" 32 78
"38" 2 79
"39" 30 79
"40" 41 79
"41" 41 81
"42" 78 81
"43" 62 82
"44" 79 85
"45" 11 88
"46" 75 89
"47" 53 90
"48" 60 90
"49" 5 91
"50" 63 91
"51" 61 92
"52" 76 92
"53" 49 93
"54" 24 94
"55" 78 94
"56" 16 96
"57" 32 96
"58" 3 97
"59" 5 97
"60" 71 97
"61" 1 99
"62" 61 99
"63" 35 102
"64" 62 102
"65" 94 102
"66" 11 103
"67" 14 103
"68" 24 103
"69" 8 105
"70" 71 105
"71" 37 106
"72" 3 107
"73" 53 107
"74" 79 107
"75" 96 107
"76" 98 108
"77" 25 109
"78" 20 110
"79" 102 110
"80" 21 111
"81" 37 111
"82" 82 111
"83" 87 111
"84" 100 111
"85" 102 111
"86" 25 112
"87" 44 112
"88" 30 114
"89" 57 114
"90" 1 115
"91" 15 115
"92" 78 115
"93" 51 116
"94" 58 116
"95" 65 116
"96" 71 117
"97" 10 118
"98" 21 118
"99" 76 119
"100" 56 120
"101" 111 120
"102" 2 121
"103" 44 121
"104" 109 123
"105" 11 124
"106" 63 124
"107" 89 124
"108" 115 124
"109" 122 124
"110" 112 125
"111" 29 126
"112" 101 126
"113" 122 126
"114" 70 127
"115" 120 130
"116" 130 131
"117" 93 132
"118" 76 133
"119" 85 133
"120" 93 133
"121" 96 133
"122" 47 134
"123" 111 134
"124" 14 135
"125" 35 137
"126" 113 137
"127" 43 138
"128" 44 138
"129" 106 138
"130" 9 139
"131" 50 139
"132" 84 139
"133" 134 140
"134" 46 141
"135" 93 141
"136" 131 143
"137" 57 144
"138" 108 144
"139" 133 144
"140" 101 147
"141" 80 148
"142" 93 148
"143" 32 149
"144" 107 149
"145" 145 149
"146" 26 150
"147" 87 150
"148" 124 150
"149" 17 151
"150" 119 151
"151" 57 152
"152" 87 153
"153" 144 153
"154" 152 153
"155" 57 154
"156" 3 155
"157" 34 156
"158" 96 156
"159" 98 156
"160" 155 156
"161" 119 157
"162" 22 158
"163" 30 158
"164" 73 158
"165" 75 158
"166" 150 158
"167" 3 159
"168" 102 159
"169" 24 160
"170" 28 160
"171" 67 160
"172" 110 160
"173" 129 160
"174" 141 160
"175" 32 161
"176" 38 161
"177" 51 162
"178" 128 162
"179" 129 162
"180" 3 163
"181" 134 163
"182" 139 163
"183" 149 163
"184" 144 164
"185" 149 164
"186" 50 165
"187" 87 166
"188" 76 167
"189" 130 167
"190" 12 168
"191" 116 168
"192" 137 168
"193" 145 168
"194" 147 168
"195" 149 168
"196" 69 170
"197" 102 170
"198" 130 171
"199" 159 172
"200" 109 173
"201" 164 173
"202" 47 174
"203" 70 174
"204" 150 174
"205" 165 174
"206" 27 175
"207" 126 175
"208" 56 176
"209" 78 176
"210" 88 176
"211" 95 176
"212" 161 176
"213" 93 177
"214" 127 177
"215" 34 178
"216" 109 178
"217" 120 178
"218" 146 179
"219" 172 179
"220" 87 180
"221" 111 180
"222" 123 180
"223" 6 181
"224" 56 181
"225" 86 181
"226" 93 181
"227" 148 181
"228" 5 182
"229" 32 182
"230" 51 182
"231" 13 183
"232" 37 183
"233" 6 184
"234" 38 184
"235" 43 184
"236" 94 184
"237" 128 184
"238" 151 184
"239" 9 185
"240" 32 185
"241" 36 185
"242" 76 185
"243" 97 185
"244" 168 185
"245" 170 185
"246" 31 186
"247" 55 186
"248" 120 186
"249" 25 188
"250" 47 188
"251" 113 188
"252" 119 188
"253" 174 188
"254" 132 189
"255" 133 189
"256" 144 189
"257" 175 189
"258" 3 190
"259" 15 190
"260" 62 190
"261" 81 190
"262" 175 190
"263" 10 191
"264" 34 191
"265" 103 191
