"from" "to"
"1" 2 3
"2" 4 13
"3" 9 15
"4" 15 25
"5" 22 27
"6" 24 28
"7" 20 31
"8" 4 32
"9" 28 34
"10" 17 36
"11" 32 38
"12" 34 38
"13" 1 39
"14" 43 44
"15" 41 45
"16" 26 46
"17" 31 47
"18" 4 48
"19" 12 49
"20" 12 50
"21" 5 54
"22" 46 54
"23" 30 56
"24" 29 57
"25" 26 59
"26" 38 63
"27" 57 63
"28" 29 64
"29" 44 64
"30" 37 67
"31" 8 69
"32" 9 70
"33" 11 70
"34" 49 70
"35" 7 71
"36" 52 73
"37" 32 75
"38" 44 76
"39" 56 78
"40" 37 79
"41" 49 79
"42" 59 79
"43" 72 79
"44" 4 82
"45" 24 82
"46" 28 84
"47" 15 85
"48" 2 86
"49" 65 86
"50" 32 87
"51" 35 88
"52" 67 88
"53" 88 89
"54" 56 90
"55" 57 90
"56" 1 91
"57" 64 91
"58" 58 92
"59" 17 93
"60" 22 94
"61" 75 95
"62" 40 98
"63" 22 99
"64" 66 99
"65" 57 100
"66" 84 101
"67" 90 102
"68" 60 103
"69" 80 104
"70" 4 105
"71" 104 105
"72" 68 106
"73" 8 107
"74" 59 108
"75" 99 108
"76" 21 109
"77" 24 109
"78" 79 109
"79" 47 110
"80" 27 112
"81" 52 112
"82" 58 113
"83" 66 113
"84" 9 114
"85" 96 114
"86" 29 115
"87" 40 118
"88" 26 120
"89" 108 120
"90" 62 121
"91" 1 122
"92" 105 122
"93" 120 122
"94" 121 122
"95" 6 123
"96" 31 123
"97" 1 124
"98" 32 124
"99" 56 124
"100" 71 124
"101" 2 125
"102" 99 125
"103" 103 125
"104" 30 126
"105" 1 127
"106" 5 127
"107" 43 127
"108" 89 127
"109" 79 129
"110" 15 130
"111" 29 130
"112" 85 130
"113" 112 130
"114" 114 130
"115" 1 131
"116" 52 132
"117" 58 132
"118" 78 132
"119" 105 132
"120" 75 133
"121" 77 133
"122" 15 134
"123" 15 135
"124" 44 135
"125" 70 135
"126" 132 135
"127" 99 136
"128" 11 137
"129" 53 137
"130" 60 137
"131" 61 137
"132" 79 138
"133" 120 138
"134" 57 139
"135" 138 139
"136" 107 142
"137" 73 143
