"from" "to"
"1" 3 8
"2" 10 13
"3" 4 19
"4" 1 25
"5" 5 28
"6" 4 33
"7" 12 35
"8" 31 35
"9" 15 37
"10" 22 38
"11" 37 38
"12" 8 40
"13" 31 41
"14" 22 43
"15" 16 45
"16" 25 46
"17" 12 48
"18" 41 50
"19" 4 51
"20" 41 52
"21" 35 54
"22" 24 55
"23" 7 57
"24" 40 57
"25" 40 60
"26" 10 65
"27" 25 65
"28" 52 65
"29" 3 66
"30" 7 67
"31" 7 71
"32" 63 73
"33" 51 75
"34" 74 75
"35" 27 76
"36" 10 77
"37" 19 79
"38" 56 79
"39" 34 81
"40" 44 81
"41" 73 81
"42" 51 84
"43" 42 86
"44" 69 86
"45" 84 86
"46" 8 89
"47" 11 89
"48" 22 89
"49" 57 89
"50" 24 90
"51" 48 90
"52" 25 91
"53" 44 91
"54" 55 91
"55" 72 91
"56" 51 92
"57" 61 92
"58" 48 93
"59" 48 94
"60" 65 94
"61" 36 95
"62" 45 95
"63" 54 95
"64" 72 96
"65" 93 96
"66" 53 98
"67" 86 98
"68" 8 99
"69" 4 101
"70" 72 102
"71" 1 104
"72" 44 104
"73" 26 106
"74" 56 106
"75" 74 106
"76" 35 107
"77" 42 108
"78" 58 108
"79" 94 108
"80" 59 109
"81" 108 109
"82" 37 110
"83" 75 110
"84" 9 111
"85" 8 112
"86" 78 113
"87" 73 115
"88" 92 115
"89" 12 116
"90" 18 116
"91" 97 116
"92" 55 117
"93" 62 117
"94" 11 118
"95" 12 118
"96" 58 119
"97" 4 121
"98" 108 121
"99" 74 122
"100" 3 123
"101" 26 124
"102" 107 124
"103" 50 125
"104" 61 125
"105" 89 125
"106" 111 125
"107" 35 126
"108" 90 127
"109" 126 127
"110" 26 129
"111" 73 129
"112" 90 130
"113" 27 131
"114" 14 132
"115" 16 133
"116" 20 133
"117" 42 133
"118" 48 133
"119" 120 134
"120" 56 135
"121" 43 136
"122" 53 136
"123" 63 136
"124" 97 136
"125" 30 137
"126" 35 138
"127" 126 138
"128" 13 140
"129" 90 140
"130" 17 141
"131" 49 142
"132" 58 142
"133" 62 142
"134" 89 142
"135" 40 143
"136" 49 143
"137" 111 143
"138" 96 144
"139" 7 145
"140" 12 145
"141" 17 145
"142" 8 146
"143" 76 146
"144" 6 147
"145" 85 147
"146" 49 148
"147" 73 148
"148" 76 148
"149" 127 148
"150" 39 149
"151" 122 149
"152" 68 150
"153" 93 150
"154" 145 150
"155" 48 151
"156" 60 151
"157" 75 151
"158" 93 151
"159" 123 151
"160" 70 152
"161" 116 153
"162" 4 154
"163" 25 155
"164" 43 155
"165" 83 155
"166" 118 155
"167" 149 155
"168" 150 155
"169" 35 156
"170" 116 156
"171" 7 157
"172" 30 157
"173" 72 157
"174" 113 157
"175" 79 159
